Age,Cabin,Embarked,Fare,Name,Parch,PassengerId,Pclass,Sex,SibSp,Survived,Ticket,Age_meanimp,Age_medianimp,Title,Surname,Age_scal,Fare_scaled,Family_size,IsAlone
0.0,,0,0.0,"Braund, Mr. Owen Harris",0,1,3,1,1,0.0,0,22.0,22.0,0,Braund,-0.5816283106401147,-0.5032910637405889,2,0
1.0,C85,1,1.0,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",0,2,1,0,1,1.0,1,38.0,38.0,1,Cumings,0.6586519408900796,0.7347436506052941,2,0
2.0,,0,2.0,"Heikkinen, Miss. Laina",0,3,3,0,0,1.0,2,26.0,26.0,1,Heikkinen,-0.2715582477575661,-0.4902404567566684,1,1
3.0,C123,0,3.0,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",0,4,1,0,1,1.0,3,35.0,35.0,1,Futrelle,0.4260993937281682,0.38318349953756076,2,0
3.0,,0,2.0,"Allen, Mr. William Henry",0,5,3,1,0,0.0,4,35.0,35.0,0,Allen,0.4260993937281682,-0.48782367768557205,1,1
2.0,,2,2.0,"Moran, Mr. James",0,6,3,1,0,0.0,5,28.0,28.0,0,Moran,-0.11652321631629182,-0.47992951052774285,1,1
4.0,E46,0,3.0,"McCarthy, Mr. Timothy J",0,7,1,1,0,0.0,6,54.0,54.0,0,McCarthy,1.898932192420274,0.35925738673370655,1,1
5.0,,0,4.0,"Palsson, Master. Gosta Leonard",1,8,3,1,3,0.0,7,2.0,2.0,2,Palsson,-2.1319786250528576,-0.23599529847733,5,0
2.0,,0,5.0,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",2,9,3,0,0,1.0,8,27.0,27.0,1,Johnson,-0.19404073203692898,-0.4282104384062805,3,0
5.0,,1,6.0,"Nasser, Mrs. Nicholas (Adele Achem)",0,10,2,0,1,1.0,9,14.0,14.0,1,Nasser,-1.201768436405212,-0.062068409135180025,2,0
5.0,G6,0,7.0,"Sandstrom, Miss. Marguerite Rut",1,11,3,0,1,1.0,10,4.0,4.0,1,Sandstrom,-1.9769435936115833,-0.32058256596570306,3,0
4.0,C103,0,6.0,"Bonnell, Miss. Elizabeth",0,12,1,0,0,1.0,11,58.0,58.0,1,Bonnell,2.2090022553028223,-0.13014037516330884,1,1
0.0,,0,2.0,"Saundercock, Mr. William Henry",0,13,3,1,0,0.0,12,20.0,20.0,0,Saundercock,-0.736663342081389,-0.48782367768557205,1,1
1.0,,0,6.0,"Andersson, Mr. Anders Johan",5,14,3,1,1,0.0,13,39.0,39.0,0,Andersson,0.7361694566107168,-0.038786126275866,7,0
5.0,,0,8.0,"Vestrom, Miss. Hulda Amanda Adolfina",0,15,3,0,0,0.0,14,14.0,14.0,1,Vestrom,-1.201768436405212,-0.4916093204225374,1,1
4.0,,0,7.0,"Hewlett, Mrs. (Mary D Kingcome) ",0,16,2,0,0,1.0,15,55.0,55.0,1,Hewlett,1.9764497081409111,-0.33411652876384274,1,1
5.0,,2,6.0,"Rice, Master. Eugene",1,17,3,1,4,0.0,16,2.0,2.0,2,Rice,-2.1319786250528576,-0.08035472629872359,6,0
2.0,,0,9.0,"Williams, Mr. Charles Eugene",0,18,2,1,0,1.0,17,28.0,28.0,0,Williams,-0.11652321631629182,-0.3921192264701557,1,1
3.0,,0,7.0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",0,19,3,0,1,0.0,18,31.0,31.0,1,Vander Planke,0.1160293308456196,-0.29544806362630077,2,0
2.0,,1,0.0,"Masselmani, Mrs. Fatima",0,20,3,0,0,1.0,19,28.0,28.0,1,Masselmani,-0.11652321631629182,-0.5037744195548081,1,1
3.0,,0,4.0,"Fynney, Mr. Joseph J",0,21,2,1,0,0.0,20,35.0,35.0,0,Fynney,0.4260993937281682,-0.14077420307613292,1,1
3.0,D56,0,9.0,"Beesley, Mr. Lawrence",0,22,2,1,0,1.0,21,34.0,34.0,0,Beesley,0.34858187800753104,-0.3921192264701557,1,1
5.0,,2,2.0,"McGowan, Miss. Anna ""Annie""",0,23,3,0,0,1.0,22,15.0,15.0,1,McGowan,-1.1242509206845748,-0.4882258297230025,1,1
2.0,A6,0,3.0,"Sloper, Mr. William Thompson",0,24,1,1,0,1.0,23,28.0,28.0,0,Sloper,-0.11652321631629182,0.042901006327191425,1,1
5.0,,0,4.0,"Palsson, Miss. Torborg Danira",1,25,3,0,3,0.0,7,8.0,8.0,1,Palsson,-1.6668735307290348,-0.23599529847733,5,0
1.0,,0,3.0,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",5,26,3,0,1,1.0,24,38.0,38.0,1,Asplund,0.6586519408900796,-0.036611025111879254,7,0
2.0,,1,0.0,"Emir, Mr. Farred Chehab",0,27,3,1,0,0.0,25,28.0,28.0,0,Emir,-0.11652321631629182,-0.5037744195548081,1,1
6.0,C23 C25 C27,0,10.0,"Fortune, Mr. Charles Alexander",2,28,1,1,3,0.0,26,19.0,19.0,0,Fortune,-0.8141808578020261,4.44143891572259,6,0
2.0,,2,8.0,"O'Dwyer, Miss. Ellen ""Nellie""",0,29,3,0,0,1.0,27,28.0,28.0,1,O'Dwyer,-0.11652321631629182,-0.4911259646083181,1,1
2.0,,0,8.0,"Todoroff, Mr. Lalio",0,30,3,1,0,0.0,28,28.0,28.0,0,Todoroff,-0.11652321631629182,-0.4908050163476765,1,1
1.0,,1,6.0,"Uruchurtu, Don. Manuel E",0,31,1,1,0,0.0,29,40.0,40.0,3,Uruchurtu,0.8136869723313539,-0.10750385567179178,1,1
2.0,B78,1,10.0,"Spencer, Mrs. William Augustus (Marie Eugenie)",0,32,1,0,1,1.0,30,28.0,28.0,1,Spencer,-0.11652321631629182,2.189402973498201,2,0
2.0,,2,11.0,"Glynn, Miss. Mary Agatha",0,33,3,0,0,1.0,31,28.0,28.0,1,Glynn,-0.11652321631629182,-0.49362394745620336,1,1
4.0,,0,5.0,"Wheadon, Mr. Edward H",0,34,2,1,0,0.0,32,66.0,66.0,0,Wheadon,2.8291423810679195,-0.44045480789208313,1,1
2.0,,1,1.0,"Meyer, Mr. Edgar Joseph",0,35,1,1,1,0.0,33,28.0,28.0,0,Meyer,-0.11652321631629182,0.9452451076977882,2,0
7.0,,0,3.0,"Holverson, Mr. Alexander Oskar",0,36,1,1,1,0.0,34,42.0,42.0,0,Holverson,0.9687220037726282,0.36191584371191265,2,0
2.0,,1,0.0,"Mamee, Mr. Hanna",0,37,3,1,0,1.0,35,28.0,28.0,0,Mamee,-0.11652321631629182,-0.5036932157780193,1,1
0.0,,0,2.0,"Cann, Mr. Ernest Charles",0,38,3,1,0,0.0,36,21.0,21.0,0,Cann,-0.6591458263607518,-0.48782367768557205,1,1
6.0,,0,7.0,"Vander Planke, Miss. Augusta Maria",0,39,3,0,2,0.0,37,18.0,18.0,1,Vander Planke,-0.8916983735226632,-0.29544806362630077,3,0
5.0,,1,5.0,"Nicola-Yarred, Miss. Jamila",0,40,3,0,1,1.0,38,14.0,14.0,1,Nicola-Yarred,-1.201768436405212,-0.42611460759582565,2,0
1.0,,0,5.0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",0,41,3,0,1,0.0,39,40.0,40.0,1,Ahlin,0.8136869723313539,-0.4602723962750734,2,0
2.0,,0,4.0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",0,42,2,0,1,0.0,40,27.0,27.0,1,Turpin,-0.19404073203692898,-0.23744536591998783,2,0
2.0,,1,8.0,"Kraeff, Mr. Theodor",0,43,3,1,0,0.0,41,28.0,28.0,0,Kraeff,-0.11652321631629182,-0.4908050163476765,1,1
